-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 05/01/2025 through 08/31/2025 in LST
Location: Latitude  9.74   Longitude 80.02 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 6.95 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (Wh/m^2) 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (Wh/m^2) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,T2M,WS10M,RH2M
2025,5,1,0,0.0,0.0,0.0,28.72,7.03,83.91
2025,5,1,1,0.0,0.0,0.0,28.63,7.09,84.07
2025,5,1,2,0.0,0.0,0.0,28.52,6.84,84.26
2025,5,1,3,0.0,0.0,0.0,28.42,6.47,84.44
2025,5,1,4,0.0,0.0,0.0,28.34,6.11,84.59
2025,5,1,5,12.0,15.8,16.04,28.32,5.81,84.54
2025,5,1,6,152.15,132.28,120.8,28.84,5.9,81.97
2025,5,1,7,362.95,287.15,222.72,29.51,5.6,78.0
2025,5,1,8,566.92,287.48,289.39,30.23,5.28,73.35
2025,5,1,9,728.8,346.22,334.47,30.88,4.93,69.7
2025,5,1,10,854.95,396.16,337.14,31.45,4.71,66.75
2025,5,1,11,885.7,556.52,327.2,31.84,4.63,65.52
2025,5,1,12,823.65,372.49,393.79,32.01,4.69,65.7
2025,5,1,13,709.42,383.56,294.53,31.98,4.86,66.29
2025,5,1,14,553.15,427.99,206.12,31.84,5.08,67.03
2025,5,1,15,344.4,307.35,170.01,31.62,5.26,67.89
2025,5,1,16,173.88,162.42,101.4,31.27,5.33,69.3
2025,5,1,17,24.92,27.85,26.34,30.75,5.17,72.02
2025,5,1,18,0.0,0.0,0.0,30.24,4.99,75.74
2025,5,1,19,0.0,0.0,0.0,30.0,5.02,77.81
2025,5,1,20,0.0,0.0,0.0,29.82,4.98,78.99
2025,5,1,21,0.0,0.0,0.0,29.64,4.93,79.87
2025,5,1,22,0.0,0.0,0.0,29.47,4.85,80.64
2025,5,1,23,0.0,0.0,0.0,29.29,4.79,81.34
2025,5,2,0,0.0,0.0,0.0,29.11,4.69,82.09
2025,5,2,1,0.0,0.0,0.0,28.97,4.59,82.75
2025,5,2,2,0.0,0.0,0.0,28.87,4.51,83.28
2025,5,2,3,0.0,0.0,0.0,28.81,4.42,83.63
2025,5,2,4,0.0,0.0,0.0,28.77,4.26,83.96
2025,5,2,5,14.62,19.53,13.69,28.79,4.12,84.05
2025,5,2,6,159.07,207.61,103.53,29.27,4.37,81.7
2025,5,2,7,353.02,409.56,164.04,29.81,4.35,78.56
2025,5,2,8,578.17,422.1,265.02,30.35,4.3,75.17
