-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 05/01/2025 through 08/31/2025 in LST
Location: Latitude  9.7423   Longitude 80.0352 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 6.95 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN
2025,5,1,0,0.0
2025,5,1,1,0.0
2025,5,1,2,0.0
2025,5,1,3,0.0
2025,5,1,4,0.0
2025,5,1,5,12.0
2025,5,1,6,152.15
2025,5,1,7,362.95
2025,5,1,8,566.92
2025,5,1,9,728.8
2025,5,1,10,854.95
2025,5,1,11,885.7
2025,5,1,12,823.65
2025,5,1,13,709.42
2025,5,1,14,553.15
2025,5,1,15,344.4
2025,5,1,16,173.88
2025,5,1,17,24.92
2025,5,1,18,0.0
2025,5,1,19,0.0
2025,5,1,20,0.0
2025,5,1,21,0.0
2025,5,1,22,0.0
2025,5,1,23,0.0
2025,5,2,0,0.0
2025,5,2,1,0.0
2025,5,2,2,0.0
2025,5,2,3,0.0
2025,5,2,4,0.0
2025,5,2,5,14.62
2025,5,2,6,159.07
2025,5,2,7,353.02
2025,5,2,8,578.17
2025,5,2,9,779.15
2025,5,2,10,900.92
2025,5,2,11,829.2
2025,5,2,12,838.58
2025,5,2,13,740.83
2025,5,2,14,507.83
2025,5,2,15,277.62
2025,5,2,16,129.25
2025,5,2,17,17.08
2025,5,2,18,0.0
2025,5,2,19,0.0
2025,5,2,20,0.0
2025,5,2,21,0.0
2025,5,2,22,0.0
2025,5,2,23,0.0
2025,5,3,0,0.0
2025,5,3,1,0.0
2025,5,3,2,0.0
2025,5,3,3,0.0
2025,5,3,4,0.0
2025,5,3,5,14.18
2025,5,3,6,148.9
2025,5,3,7,351.05
2025,5,3,8,537.8
2025,5,3,9,694.85
2025,5,3,10,832.85
2025,5,3,11,910.5
2025,5,3,12,893.55
2025,5,3,13,773.47
2025,5,3,14,614.97
2025,5,3,15,410.8
2025,5,3,16,191.12
2025,5,3,17,25.9
2025,5,3,18,0.0
2025,5,3,19,0.0
2025,5,3,20,0.0
2025,5,3,21,0.0
2025,5,3,22,0.0
2025,5,3,23,0.0
2025,5,4,0,0.0
2025,5,4,1,0.0
2025,5,4,2,0.0
2025,5,4,3,0.0
2025,5,4,4,0.0
2025,5,4,5,14.93
2025,5,4,6,169.02
2025,5,4,7,381.65
2025,5,4,8,580.17
2025,5,4,9,722.47
2025,5,4,10,892.75
2025,5,4,11,945.58
2025,5,4,12,914.05
2025,5,4,13,810.95
2025,5,4,14,642.55
2025,5,4,15,415.38
2025,5,4,16,194.25
2025,5,4,17,26.27
2025,5,4,18,0.0
2025,5,4,19,0.0
2025,5,4,20,0.0
2025,5,4,21,0.0
2025,5,4,22,0.0
2025,5,4,23,0.0
2025,5,5,0,0.0
2025,5,5,1,0.0
2025,5,5,2,0.0
2025,5,5,3,0.0
2025,5,5,4,0.0
2025,5,5,5,5.88
2025,5,5,6,149.9
2025,5,5,7,327.15
2025,5,5,8,475.35
2025,5,5,9,607.62
2025,5,5,10,703.8
2025,5,5,11,771.25
2025,5,5,12,846.6
2025,5,5,13,743.58
2025,5,5,14,599.25
2025,5,5,15,434.95
2025,5,5,16,207.98
2025,5,5,17,29.62
2025,5,5,18,0.0
2025,5,5,19,0.0
2025,5,5,20,0.0
2025,5,5,21,0.0
2025,5,5,22,0.0
2025,5,5,23,0.0
2025,5,6,0,0.0
2025,5,6,1,0.0
2025,5,6,2,0.0
2025,5,6,3,0.0
2025,5,6,4,0.0
2025,5,6,5,14.75
2025,5,6,6,158.4
2025,5,6,7,353.58
2025,5,6,8,583.05
2025,5,6,9,763.0
2025,5,6,10,909.3
2025,5,6,11,925.05
2025,5,6,12,747.42
2025,5,6,13,762.17
2025,5,6,14,588.03
2025,5,6,15,350.55
2025,5,6,16,162.68
2025,5,6,17,21.58
2025,5,6,18,0.0
2025,5,6,19,0.0
2025,5,6,20,0.0
2025,5,6,21,0.0
2025,5,6,22,0.0
2025,5,6,23,0.0
2025,5,7,0,0.0
2025,5,7,1,0.0
2025,5,7,2,0.0
2025,5,7,3,0.0
2025,5,7,4,0.0
2025,5,7,5,13.23
2025,5,7,6,146.35
2025,5,7,7,336.92
2025,5,7,8,534.88
2025,5,7,9,694.22
2025,5,7,10,818.53
2025,5,7,11,888.55
2025,5,7,12,845.95
2025,5,7,13,733.17
2025,5,7,14,508.58
2025,5,7,15,333.1
2025,5,7,16,153.5
2025,5,7,17,21.55
2025,5,7,18,0.0
2025,5,7,19,0.0
2025,5,7,20,0.0
2025,5,7,21,0.0
2025,5,7,22,0.0
2025,5,7,23,0.0
2025,5,8,0,0.0
2025,5,8,1,0.0
2025,5,8,2,0.0
2025,5,8,3,0.0
2025,5,8,4,0.0
2025,5,8,5,14.12
2025,5,8,6,135.48
2025,5,8,7,324.1
2025,5,8,8,517.08
2025,5,8,9,677.55
2025,5,8,10,798.08
2025,5,8,11,784.17
2025,5,8,12,729.28
2025,5,8,13,537.95
2025,5,8,14,424.48
2025,5,8,15,141.65
2025,5,8,16,78.43
2025,5,8,17,11.38
2025,5,8,18,0.0
2025,5,8,19,0.0
2025,5,8,20,0.0
2025,5,8,21,0.0
2025,5,8,22,0.0
2025,5,8,23,0.0
2025,5,9,0,0.0
2025,5,9,1,0.0
2025,5,9,2,0.0
2025,5,9,3,0.0
2025,5,9,4,0.0
2025,5,9,5,12.75
2025,5,9,6,148.48
2025,5,9,7,340.45
2025,5,9,8,538.6
2025,5,9,9,691.88
2025,5,9,10,830.22
2025,5,9,11,792.67
2025,5,9,12,754.5
2025,5,9,13,631.67
2025,5,9,14,419.0
2025,5,9,15,300.58
2025,5,9,16,136.32
2025,5,9,17,18.05
